"","surp","y_lower","y_upper","y","delta","lang","model","linear"
"7593",15.5,44.4427924652905,52.6299337525871,49.4715292094484,19.1872105781559,"gr","monot_all","non-linear"
"7594",15.6,44.7363273598347,53.0471678539446,49.8479460951756,19.1872105781559,"gr","monot_all","non-linear"
"7595",15.7,45.0299051463407,53.4650419787126,50.2249465932867,19.1872105781559,"gr","monot_all","non-linear"
"7596",15.8,45.3235256504572,53.8835535252644,50.6025283314598,19.1872105781559,"gr","monot_all","non-linear"
"7597",15.9,45.617188697833,54.3026998919736,50.9806889373734,19.1872105781559,"gr","monot_all","non-linear"
"7598",16,45.9108941141169,54.7224784772136,51.3594260387055,19.1872105781559,"gr","monot_all","non-linear"
"7599",16.1,46.2046417249576,55.1428866793579,51.7387372631344,19.1872105781559,"gr","monot_all","non-linear"
"7600",16.2,46.498431356004,55.5639218967799,52.1186202383385,19.1872105781559,"gr","monot_all","non-linear"
"7601",16.3,46.7922628329048,55.9855815278531,52.4990725919958,19.1872105781559,"gr","monot_all","non-linear"
"7602",16.4,47.0861359813088,56.4078629709511,52.8800919517847,19.1872105781559,"gr","monot_all","non-linear"
"7603",16.5,47.3800506268648,56.8307636244471,53.2616759453833,19.1872105781559,"gr","monot_all","non-linear"
"7604",16.6,47.6740065952215,57.2542808867148,53.64382220047,19.1872105781559,"gr","monot_all","non-linear"
"7605",16.7,47.9680037120277,57.6784121561275,54.0265283447229,19.1872105781559,"gr","monot_all","non-linear"
"7606",16.8,48.2620418029322,58.1031548310587,54.4097920058204,19.1872105781559,"gr","monot_all","non-linear"
"7607",16.9,48.5561206935838,58.528506309882,54.7936108114406,19.1872105781559,"gr","monot_all","non-linear"
"7608",17,48.8502402096311,58.9544639909707,55.1779823892617,19.1872105781559,"gr","monot_all","non-linear"
"7609",17.1,49.1444001767231,59.3810252726983,55.5629043669621,19.1872105781559,"gr","monot_all","non-linear"
"7610",17.2,49.4386004205085,59.8081875534383,55.9483743722199,19.1872105781559,"gr","monot_all","non-linear"
"7611",17.3,49.7328407666361,60.2359482315642,56.3343900327135,19.1872105781559,"gr","monot_all","non-linear"
"7612",17.4,50.0271210407545,60.6643047054494,56.7209489761209,19.1872105781559,"gr","monot_all","non-linear"
"7613",17.5,50.3214410685127,61.0932543734674,57.1080488301205,19.1872105781559,"gr","monot_all","non-linear"
"7614",17.6,50.6158006755594,61.5227946339916,57.4956872223906,19.1872105781559,"gr","monot_all","non-linear"
"7615",17.7,50.9101996875433,61.9529228853955,57.8838617806092,19.1872105781559,"gr","monot_all","non-linear"
"7616",17.8,51.2046379301133,62.3836365260527,58.2725701324548,19.1872105781559,"gr","monot_all","non-linear"
"7617",17.9,51.499115228918,62.8381395249518,58.6618099056055,19.1872105781559,"gr","monot_all","non-linear"
"7618",18,51.7936314096064,63.3070310611132,59.0515787277395,19.1872105781559,"gr","monot_all","non-linear"
