"","prev_surp","y_lower","y_upper","y","delta","lang","model","linear"
"965",16,-0.754290034722652,4.187557021923,1.75252526753168,-0.421396275630759,"gr","mgpt_lc","non-linear"
"966",16.1,-0.746421781941253,4.24639022517504,1.79762129081331,-0.421396275630759,"gr","mgpt_lc","non-linear"
"967",16.2,-0.73842234527773,4.30465269418629,1.84265764016036,-0.421396275630759,"gr","mgpt_lc","non-linear"
"968",16.3,-0.730292269043332,4.36234679706068,1.88763456317331,-0.421396275630759,"gr","mgpt_lc","non-linear"
"969",16.4,-0.722032097549309,4.41947490190216,1.93255230745267,-0.421396275630759,"gr","mgpt_lc","non-linear"
"970",16.5,-0.713642375106908,4.47603937681464,1.97741112059892,-0.421396275630759,"gr","mgpt_lc","non-linear"
"971",16.6,-0.70512364602738,4.53204258990208,2.02221125021255,-0.421396275630759,"gr","mgpt_lc","non-linear"
"972",16.7,-0.696476454621972,4.58748690926839,2.06695294389406,-0.421396275630759,"gr","mgpt_lc","non-linear"
"973",16.8,-0.687701345201932,4.64237470301751,2.11163644924394,-0.421396275630759,"gr","mgpt_lc","non-linear"
"974",16.9,-0.67879886207851,4.69670833925338,2.15626201386269,-0.421396275630759,"gr","mgpt_lc","non-linear"
"975",17,-0.669769549562954,4.75049018607993,2.20082988535079,-0.421396275630759,"gr","mgpt_lc","non-linear"
"976",17.1,-0.660613951966512,4.8037226116011,2.24534031130875,-0.421396275630759,"gr","mgpt_lc","non-linear"
"977",17.2,-0.651332613600436,4.85640798392081,2.28979353933704,-0.421396275630759,"gr","mgpt_lc","non-linear"
"978",17.3,-0.64192607877597,4.908548671143,2.33418981703616,-0.421396275630759,"gr","mgpt_lc","non-linear"
"979",17.4,-0.632394891804366,4.96014704137161,2.37852939200662,-0.421396275630759,"gr","mgpt_lc","non-linear"
"980",17.5,-0.622739596996873,5.01120546271056,2.42281251184889,-0.421396275630759,"gr","mgpt_lc","non-linear"
"981",17.6,-0.612960738664737,5.0617263032638,2.46703942416348,-0.421396275630759,"gr","mgpt_lc","non-linear"
"982",17.7,-0.603058861119208,5.11171193113525,2.51121037655087,-0.421396275630759,"gr","mgpt_lc","non-linear"
"983",17.8,-0.593034508671535,5.16116471442885,2.55532561661156,-0.421396275630759,"gr","mgpt_lc","non-linear"
"984",17.9,-0.582888225632966,5.21008702124853,2.59938539194604,-0.421396275630759,"gr","mgpt_lc","non-linear"
"985",18,-0.572620556314752,5.25848121969823,2.64338995015481,-0.421396275630759,"gr","mgpt_lc","non-linear"
"986",18.1,-0.562232045028136,5.30868956096034,2.68733953883835,-0.421396275630759,"gr","mgpt_lc","non-linear"
"987",18.2,-0.551723236084374,5.36060090690215,2.73123440559715,-0.421396275630759,"gr","mgpt_lc","non-linear"
"988",18.3,-0.548060541512657,5.41203509426237,2.77507479803173,-0.421396275630759,"gr","mgpt_lc","non-linear"
"989",18.4,-0.546101466007092,5.46299429185538,2.81886096374255,-0.421396275630759,"gr","mgpt_lc","non-linear"
"990",18.5,-0.54419940892206,5.51348066849563,2.86259315033012,-0.421396275630759,"gr","mgpt_lc","non-linear"
"991",18.6,-0.542354108715907,5.56349639299753,2.90627160539493,-0.421396275630759,"gr","mgpt_lc","non-linear"
"992",18.7,-0.54056530384698,5.6130436341755,2.94989657653747,-0.421396275630759,"gr","mgpt_lc","non-linear"
"993",18.8,-0.538832732773632,5.66212456084396,2.99346831135824,-0.421396275630759,"gr","mgpt_lc","non-linear"
"994",18.9,-0.537156133954211,5.71074134181733,3.03698705745772,-0.421396275630759,"gr","mgpt_lc","non-linear"
"995",19,-0.535535245847061,5.76447647214241,3.08045306243642,-0.421396275630759,"gr","mgpt_lc","non-linear"
"996",19.1,-0.53396980691054,5.82134076992942,3.12386657389482,-0.421396275630759,"gr","mgpt_lc","non-linear"
"997",19.2,-0.532459555602987,5.87786225162563,3.16722783943341,-0.421396275630759,"gr","mgpt_lc","non-linear"
"998",19.3,-0.531004230382762,5.93404254188293,3.21053710665269,-0.421396275630759,"gr","mgpt_lc","non-linear"
"999",19.4,-0.529603569708204,5.98988326535324,3.25379462315316,-0.421396275630759,"gr","mgpt_lc","non-linear"
"1000",19.5,-0.528257312037667,6.04538604668844,3.29700063653529,-0.421396275630759,"gr","mgpt_lc","non-linear"
"1001",19.6,-0.526965195829499,6.10055251054045,3.3401553943996,-0.421396275630759,"gr","mgpt_lc","non-linear"
"1002",19.7,-0.525726959542051,6.15538428156118,3.38325914434656,-0.421396275630759,"gr","mgpt_lc","non-linear"
"1003",19.8,-0.524542341633667,6.2098829844025,3.42631213397667,-0.421396275630759,"gr","mgpt_lc","non-linear"
"1004",19.9,-0.523411080562699,6.26405024371634,3.46931461089044,-0.421396275630759,"gr","mgpt_lc","non-linear"
"1005",20,-0.522332914787498,6.31788768415459,3.51226682268833,-0.421396275630759,"gr","mgpt_lc","non-linear"
"1006",0,-3.01621682008882,2.70553769230657,0,5.16637510809743,"he","mgpt_lc","non-linear"
"1007",0.1,-2.95110530997188,2.60584577747282,-0.002206819275961,5.16637510809743,"he","mgpt_lc","non-linear"
"1008",0.2,-2.88568734766756,2.50671354880614,-0.00399060932536344,5.16637510809743,"he","mgpt_lc","non-linear"
"1009",0.3,-2.83527608894442,2.40870069247357,-0.00492834092164784,5.16637510809743,"he","mgpt_lc","non-linear"
"1010",0.4,-2.80944748666162,2.31236689464219,-0.00459698483825211,5.16637510809743,"he","mgpt_lc","non-linear"
"1011",0.5,-2.78177602306585,2.21827184147904,-0.00257351184861943,5.16637510809743,"he","mgpt_lc","non-linear"
"1012",0.6,-2.75180098282889,2.14710482546539,0.00156510727381054,5.16637510809743,"he","mgpt_lc","non-linear"
"1013",0.7,-2.71906165062248,2.12945893932642,0.00824190175559547,5.16637510809743,"he","mgpt_lc","non-linear"
"1014",0.8,-2.6830973111184,2.11445407690504,0.0178799008232957,5.16637510809743,"he","mgpt_lc","non-linear"
"1015",0.9,-2.64344724898839,2.10246752730379,0.0309021337034725,5.16637510809743,"he","mgpt_lc","non-linear"
"1016",1,-2.59965074890422,2.09387657962516,0.0477316296226835,5.16637510809743,"he","mgpt_lc","non-linear"
"1017",1.1,-2.55124709553764,2.08905852297168,0.0687914178074909,5.16637510809743,"he","mgpt_lc","non-linear"
