"","surp","y_lower","y_upper","y","delta","lang","context","linear"
"670",6.6,16.6740359372484,20.3514660274423,18.3529200448109,16.2906511356002,"ge","short","non-linear"
"671",6.7,16.8940452694074,20.58519442604,18.6247063095379,16.2906511356002,"ge","short","non-linear"
"672",6.8,17.1072295470976,20.7991440941667,18.8844648876017,16.2906511356002,"ge","short","non-linear"
"673",6.9,17.3133222656292,20.9924097723377,19.1316307381048,16.2906511356002,"ge","short","non-linear"
"674",7,17.5120569203126,21.1640862010679,19.36563882015,16.2906511356002,"ge","short","non-linear"
"675",7.1,17.7031670064579,21.3605541468971,19.5859240928399,16.2906511356002,"ge","short","non-linear"
"676",7.2,17.8863998401672,21.5474741319879,19.7919487335363,16.2906511356002,"ge","short","non-linear"
"677",7.3,18.0617770952996,21.723231581847,19.9837152316683,16.2906511356002,"ge","short","non-linear"
"678",7.4,18.2295726044327,21.8882192283366,20.161722670601,16.2906511356002,"ge","short","non-linear"
"679",7.5,18.3900695712175,22.0428337878639,20.3264885888145,16.2906511356002,"ge","short","non-linear"
"680",7.6,18.543551199305,22.1874719768359,20.4785305247894,16.2906511356002,"ge","short","non-linear"
"681",7.7,18.6903006923463,22.3225305116597,20.6183660170059,16.2906511356002,"ge","short","non-linear"
"682",7.8,18.8306012539923,22.4484061087425,20.7465126039443,16.2906511356002,"ge","short","non-linear"
"683",7.9,18.9647360878941,22.5840183700526,20.8634878240851,16.2906511356002,"ge","short","non-linear"
"684",8,19.0929883977027,22.7168338530008,20.9698092159086,16.2906511356002,"ge","short","non-linear"
"685",8.1,19.2156413870692,22.84201278384,21.0659943178952,16.2906511356002,"ge","short","non-linear"
"686",8.2,19.3329782596445,22.9599160100121,21.1525606685252,16.2906511356002,"ge","short","non-linear"
"687",8.3,19.4452822190797,23.0709043789591,21.2300258062789,16.2906511356002,"ge","short","non-linear"
"688",8.4,19.5528364690259,23.1753387381231,21.2989072696367,16.2906511356002,"ge","short","non-linear"
"689",8.5,19.6559242131339,23.2735799349459,21.359722597079,16.2906511356002,"ge","short","non-linear"
"690",8.6,19.754828655055,23.3659888168696,21.4129893270861,16.2906511356002,"ge","short","non-linear"
"691",8.7,19.8331421066015,23.4529262313362,21.4592249981385,16.2906511356002,"ge","short","non-linear"
"692",8.8,19.8848512687886,23.5347530257876,21.4989471487163,16.2906511356002,"ge","short","non-linear"
"693",8.9,19.9323161232387,23.6118300476659,21.5326733173,16.2906511356002,"ge","short","non-linear"
"694",9,19.9759243592936,23.684518144413,21.56092104237,16.2906511356002,"ge","short","non-linear"
"695",9.1,19.9400300036747,23.7531781634709,21.5842078624066,16.2906511356002,"ge","short","non-linear"
"696",9.2,19.770808669417,23.8181709522817,21.6030513158901,16.2906511356002,"ge","short","non-linear"
"697",9.3,19.5964301355881,23.8798573582872,21.6179689413009,16.2906511356002,"ge","short","non-linear"
"698",9.4,19.4177984641244,23.9385982289295,21.6294782771194,16.2906511356002,"ge","short","non-linear"
"699",9.5,19.2358177169623,23.9947544116506,21.6380968618259,16.2906511356002,"ge","short","non-linear"
"700",9.6,19.0513919560382,24.0486867538924,21.6443422339008,16.2906511356002,"ge","short","non-linear"
"701",9.7,18.8654252432886,24.100756103097,21.6487319318244,16.2906511356002,"ge","short","non-linear"
"702",9.8,18.67882164065,24.1513233067063,21.651783494077,16.2906511356002,"ge","short","non-linear"
"703",9.9,18.4924852100586,24.2030639511381,21.6540144591392,16.2906511356002,"ge","short","non-linear"
"704",10,18.307320013451,24.2709937976828,21.6559423654911,16.2906511356002,"ge","short","non-linear"
"705",10.1,18.1242301127635,24.3385219720652,21.6580847516131,16.2906511356002,"ge","short","non-linear"
"706",10.2,17.9441195699326,24.4059407050018,21.6609591559856,16.2906511356002,"ge","short","non-linear"
"707",10.3,17.7678924468948,24.4735422272092,21.665083117089,16.2906511356002,"ge","short","non-linear"
"708",10.4,17.5964528055864,24.5416187694037,21.6709741734036,16.2906511356002,"ge","short","non-linear"
"709",10.5,17.4307047079439,24.6104625623019,21.6791498634097,16.2906511356002,"ge","short","non-linear"
"710",10.6,17.2715522159036,24.6803658366202,21.6901277255878,16.2906511356002,"ge","short","non-linear"
"711",10.7,17.1198993914021,24.7516208230751,21.7044252984182,16.2906511356002,"ge","short","non-linear"
"712",10.8,16.9766502963757,24.8245197523831,21.7225601203811,16.2906511356002,"ge","short","non-linear"
"713",10.9,16.8427089927609,24.8993548552606,21.7450497299571,16.2906511356002,"ge","short","non-linear"
"714",11,16.718979542494,24.9764183624241,21.7724116656263,16.2906511356002,"ge","short","non-linear"
"715",11.1,16.6063660075116,25.0560025045901,21.8051634658693,16.2906511356002,"ge","short","non-linear"
"716",11.2,16.50577244975,25.1383995124751,21.8438226691663,16.2906511356002,"ge","short","non-linear"
"717",11.3,16.4180944264199,25.2238989086843,21.8889019825824,16.2906511356002,"ge","short","non-linear"
"718",11.4,16.3438439256713,25.3126680781215,21.9406962129885,16.2906511356002,"ge","short","non-linear"
"719",11.5,16.283001667858,25.4047052371257,21.9991983614843,16.2906511356002,"ge","short","non-linear"
"720",11.6,16.2355093427595,25.4999961737532,22.0643792564486,16.2906511356002,"ge","short","non-linear"
"721",11.7,16.2013086401552,25.5985266760605,22.1362097262604,16.2906511356002,"ge","short","non-linear"
"722",11.8,16.1803412498247,25.7002825321039,22.2146605992984,16.2906511356002,"ge","short","non-linear"
"723",11.9,16.1725488615473,25.8052495299398,22.2997027039416,16.2906511356002,"ge","short","non-linear"
"724",12,16.1778731651026,25.9134134576246,22.3913068685686,16.2906511356002,"ge","short","non-linear"
"725",12.1,16.1962558502699,26.0247601032148,22.4894439215585,16.2906511356002,"ge","short","non-linear"
"726",12.2,16.2276386068286,26.1392752547667,22.59408469129,16.2906511356002,"ge","short","non-linear"
"727",12.3,16.2719631245584,26.2569447003367,22.7052000061421,16.2906511356002,"ge","short","non-linear"
"728",12.4,16.3291710932386,26.3777542279812,22.8227606944935,16.2906511356002,"ge","short","non-linear"
"729",12.5,16.3992042026487,26.5016896257567,22.946737584723,16.2906511356002,"ge","short","non-linear"
"730",12.6,16.4820041425681,26.6287366817195,23.0771015052097,16.2906511356002,"ge","short","non-linear"
"731",12.7,16.5775126027763,26.758881183926,23.2138232843322,16.2906511356002,"ge","short","non-linear"
"732",12.8,16.6856712730527,26.8921089204326,23.3568737504694,16.2906511356002,"ge","short","non-linear"
"733",12.9,16.8064218431768,27.0284056792957,23.5062237320003,16.2906511356002,"ge","short","non-linear"
"734",13,16.939706002928,27.1677572485717,23.6618440573035,16.2906511356002,"ge","short","non-linear"
"735",13.1,17.0854654420858,27.3101494163171,23.8237055547581,16.2906511356002,"ge","short","non-linear"
"736",13.2,17.2436418504297,27.4555679705882,23.9917790527428,16.2906511356002,"ge","short","non-linear"
"737",13.3,17.4141769177391,27.6039986994413,24.1660353796364,16.2906511356002,"ge","short","non-linear"
"738",13.4,17.5970123337934,27.755427390933,24.3464453638179,16.2906511356002,"ge","short","non-linear"
"739",13.5,17.7920897883722,27.9098398331196,24.5329798336661,16.2906511356002,"ge","short","non-linear"
"740",13.6,17.9993509712547,28.0672218140575,24.7256096175598,16.2906511356002,"ge","short","non-linear"
"741",13.7,18.2187375722206,28.2275591218031,24.9243055438779,16.2906511356002,"ge","short","non-linear"
"742",13.8,18.4501912810493,28.3908375444127,25.1290384409992,16.2906511356002,"ge","short","non-linear"
"743",13.9,18.6936537875202,28.5570428699429,25.3397791373025,16.2906511356002,"ge","short","non-linear"
"744",14,18.9490667814127,28.72616088645,25.5564984611668,16.2906511356002,"ge","short","non-linear"
"745",14.1,19.2163719525064,28.8981773819904,25.7791672409709,16.2906511356002,"ge","short","non-linear"
"746",14.2,19.4955109905806,29.0730781446204,26.0077563050935,16.2906511356002,"ge","short","non-linear"
"747",14.3,19.786425585415,29.2508489623966,26.2422364819136,16.2906511356002,"ge","short","non-linear"
"748",14.4,20.0890574267887,29.4314756233753,26.4825785998101,16.2906511356002,"ge","short","non-linear"
"749",14.5,20.4033482044814,29.6149439156128,26.7287534871617,16.2906511356002,"ge","short","non-linear"
"750",14.6,20.7292396082725,29.8012396271656,26.9807319723473,16.2906511356002,"ge","short","non-linear"
"751",14.7,21.0666733279414,29.9903485460902,27.2384848837457,16.2906511356002,"ge","short","non-linear"
"752",14.8,21.4155910532677,30.1822564604428,27.5019830497359,16.2906511356002,"ge","short","non-linear"
"753",14.9,21.7759344740307,30.3769491582799,27.7711972986966,16.2906511356002,"ge","short","non-linear"
"754",15,22.1476452800098,30.5744124276578,28.0460984590067,16.2906511356002,"ge","short","non-linear"
"755",15.1,22.5306651609847,30.7746320566331,28.326657359045,16.2906511356002,"ge","short","non-linear"
"756",15.2,22.9249358067346,30.977593833262,28.6128448271905,16.2906511356002,"ge","short","non-linear"
"757",15.3,23.3303989070391,31.1873833459823,28.9046316918218,16.2906511356002,"ge","short","non-linear"
"758",15.4,23.7469961516776,31.4174995122548,29.201988781318,16.2906511356002,"ge","short","non-linear"
"759",15.5,24.1746692304296,31.6856580023116,29.5048869240579,16.2906511356002,"ge","short","non-linear"
"760",15.6,24.6133598330745,32.0465359608189,29.8132969484202,16.2906511356002,"ge","short","non-linear"
"761",15.7,25.0630096493918,32.4136499716148,30.1271896827838,16.2906511356002,"ge","short","non-linear"
"762",15.8,25.5235603691609,32.7869668548019,30.4465359555276,16.2906511356002,"ge","short","non-linear"
"763",15.9,25.9949536821612,33.1664534304829,30.7713065950305,16.2906511356002,"ge","short","non-linear"
"764",16,26.4771312781723,33.5520765187605,31.1014724296712,16.2906511356002,"ge","short","non-linear"
"765",16.1,26.9700348469737,33.9438029397374,31.4370042878287,16.2906511356002,"ge","short","non-linear"
"766",16.2,27.4736060783446,34.3415995135163,31.7778729978818,16.2906511356002,"ge","short","non-linear"
"767",16.3,27.9877866620646,34.7454330601999,32.1240493882092,16.2906511356002,"ge","short","non-linear"
"768",16.4,28.5125182879132,35.1552703998908,32.47550428719,16.2906511356002,"ge","short","non-linear"
"769",16.5,29.0477426456697,35.5909423752259,32.8322085232028,16.2906511356002,"ge","short","non-linear"
"770",16.6,29.5934014251138,36.0339696284957,33.1941329246267,16.2906511356002,"ge","short","non-linear"
"771",16.7,30.1494363160247,36.4833632684154,33.5612483198403,16.2906511356002,"ge","short","non-linear"
"772",16.8,30.715789008182,36.9390875180556,33.9335255372226,16.2906511356002,"ge","short","non-linear"
"773",16.9,31.2924011913651,37.4011066004864,34.3109354051525,16.2906511356002,"ge","short","non-linear"
"774",17,31.8792145553534,37.8693847387784,34.6934487520087,16.2906511356002,"ge","short","non-linear"
"775",17.1,32.4761707899265,38.3438861560019,35.0810364061701,16.2906511356002,"ge","short","non-linear"
"776",17.2,33.0429719809039,38.8245750752273,35.4736691960155,16.2906511356002,"ge","short","non-linear"
"777",17.3,33.38190870273,39.311415719525,35.8713179499239,16.2906511356002,"ge","short","non-linear"
"778",17.4,33.724763794909,39.8043723119654,36.273953496274,16.2906511356002,"ge","short","non-linear"
"779",17.5,34.0715143358502,40.3034090756188,36.6815466634448,16.2906511356002,"ge","short","non-linear"
"780",17.6,34.4079707235265,40.8084902335556,37.0940682798149,16.2906511356002,"ge","short","non-linear"
"781",17.7,34.7018211491674,41.3195800088462,37.5114891737634,16.2906511356002,"ge","short","non-linear"
"782",17.8,34.998298587388,41.8366426245611,37.933780173669,16.2906511356002,"ge","short","non-linear"
"783",17.9,35.2973873025521,42.3596423037705,38.3609121079107,16.2906511356002,"ge","short","non-linear"
"784",18,35.5990715590234,42.8885432695449,38.7928558048671,16.2906511356002,"ge","short","non-linear"
"785",18.1,35.9033356211657,43.4233097449546,39.2295820929173,16.2906511356002,"ge","short","non-linear"
"786",18.2,36.2101637533428,43.9639059530701,39.67106180044,16.2906511356002,"ge","short","non-linear"
"787",18.3,36.5195402199184,44.5102961169617,40.1172657558141,16.2906511356002,"ge","short","non-linear"
